text,sentence_index,n_gram_id,tag
"(מ""ד) חמור מכולם המת שהוא מטמא",3,211,-1
יחפור (דף כ') אמרינן דעכו''ם,20,1273,-1
הפך ממ''ש בשמו בסמוך לחד לישנא,13,770,-1
סתום ומטמא כל סביביו הילכך,12,596,-1
לאו בר קבולי טומאה,20,1252,-1
"ובפרק תינוקת (דף ס""ט) ושנינו בפ''ב דאהלות",1,139,-1
א''ל לא מתני מר,19,1042,-1
עכו''ם אינם מטמאין:,19,1002,-1
באסקופה מטפח ולמעלה משום,13,717,-1
אומר קברי עכו''ם אינם מטמאין: וכן העכו''ם,19,1190,-1
תוספתא זו מפני שנותנת טעם למה,15,867,-1
דכשטומאה בבית הוי הבית כקבר סתום ומטמא,12,642,-1
בפ''ב דאהלות דאפי' עצם כשעורה,1,107,-1
שישב בחלון ממעט,20,1215,-1
בחלון ממעט בחלון,20,1216,-1
למה מטפח ולמטה טהור מטפח ולמעלה,15,872,-1
ח' דאהלות שבהמה וחיה חוצצין מפני הטומאה:,21,1385,-1
"(דף ס""א ע""ב) אמרינן",20,1231,-1
"(דף מ""ג) ואיתיה בת''כ: נגע במשקוף וכו'",7,310,-1
ומ''ש וצירף ידו,9,321,-1
בקרקע עולם וזה הפך ממ''ש בשמו בסמוך,13,801,-1
או מן העכו''ם,16,886,-1
קברי עכו''ם אינם מטמאין: וכן העכו''ם אינו,19,1191,-1
ובאהל טומאת שבעה,0,6,-1
בבית הקברות א''ל,19,991,-1
שיצרף ידו שמלשון המשנה משמע דבנגיעה,10,449,-1
כשעורה מטמא במשא:,1,70,-1
טומאת שבעה וטומאת מגע ואהל,0,30,-1
שם דטעמא משום דכשטומאה בבית הוי,12,614,-1
לרשב''י ואע''ג דרבנן,19,962,-1
טומאה הוא וכן מפורש בתוספתא ריש אהלות,20,1345,-1
ודין בהמה מבואר בריש פרק ח' דאהלות,21,1380,-1
מגע ואהל מפורשים,0,10,-1
אא''כ צירף ידו,10,347,-1
ואינו טמא אא''כ צירף,10,387,-1
יהושע ונראה מדברי רבינו,12,557,-1
משנה אחד הבא כלו לאהל המת,6,271,-1
"ס""ט) ושנינו בפ''ב דאהלות",1,85,-1
בתרא דנזיר (דף,20,1197,-1
"ג' מינים (דף מ""ג)",7,290,-1
משמע דבנגיעה בעלמא,10,330,-1
דא''ל רבה לאליהו לאו כהן הוא,19,1126,-1
וכן העכו''ם אינו,19,1005,-1
(דף כ') אמרינן דעכו''ם שישב בחלון ממעט,20,1333,-1
הפך ממ''ש בשמו בסמוך,13,699,-1
"יבמתו (דף ס""א) מסקנא דרבינא אפילו",17,940,-1
כסף משנה אחד המת מישראל או מן,16,911,-1
מטמא באסקופה מטפח ולמעלה,13,716,-1
לחד לישנא אצל צירף,13,703,-1
ידו שכתב רבינו וכאילו יהיב טעמא,10,478,-1
העכו''ם מטמא במגע,16,888,-1
חמור מכולם המת שהוא מטמא באהל מה,3,221,-1
למה אם נגע טמא,10,403,-1
למה אם נגע,10,361,-1
וכן העכו''ם אינו נעשה טמא,19,1102,-1
כתב הראב''ד נגע באסקופה מטפח ולמטה וכו',13,829,-1
פי''ב דאהלות נגע במשקוף,8,316,-1
ועוד דבס''פ המקבל (דף,19,1024,-1
בריש פרק ח',21,1349,-1
או אפשר דנגיעה היינו צירף ידו,10,473,-1
אינו נעשה טמא,19,1007,-1
אמרי' דא''ל רבה לאליהו לאו כהן הוא,19,1171,-1
הילכך הנוגע באסקופה מטפח ולמעלה טמא כנוגע,12,651,-1
"במשנה ובפרק תינוקת (דף ס""ט)",1,101,-1
וכן מפורש בתוספתא,20,1225,-1
לרבינו דלישנא דנגיעה לאו דוקא ואינו,10,463,-1
דאהלות שבהמה וחיה,21,1352,-1
למה הצריך שיצרף ידו שמלשון,10,407,-1
שבעה וטומאת מגע ואהל מפורשים בתורה,0,41,-1
אינם מטמאין: וכן העכו''ם אינו,19,1100,-1
כתב רבי יהושע מטמא באסקופה מטפח ולמעלה,13,818,-1
כ') אמרינן דעכו''ם שישב בחלון,20,1275,-1
פליגי עליה פסק כמותו משום,19,1062,-1
יהושע מטמא באסקופה מטפח ולמעלה,13,751,-1
ולמעלה טמא כנוגע,12,549,-1
ולמעלה משום דדרך,13,682,-1
צירף ידו או אפשר דנגיעה היינו צירף,10,510,-1
ממעט בחלון אלמא לאו בר,20,1280,-1
ומ''ש ואין העכו''ם,18,948,-1
דנגיעה היינו צירף ידו שכתב,10,435,-1
ח' דאהלות שבהמה וחיה חוצצין,21,1370,-1
לאליהו לאו כהן הוא מר מ''ט,19,1128,-1
דאהלות דאפי' עצם כשעורה,1,88,-1
משנה טומאת אהל אינה,2,154,-1
כלו לאהל המת,6,250,-1
ממעט בחלון אלמא לאו בר קבולי,20,1310,-1
הבא מקצתו וכו',6,254,-1
טומאה ובפרק לא יחפור (דף כ'),20,1300,-1
לצאת: כתב הראב''ד נגע,13,723,-1
מר מ''ט קאי בבית,19,1037,-1
נגע באסקופה וכו',11,523,-1
מ''ט קאי בבית הקברות,19,1038,-1
"משנה פ''ק דכלים (מ""ד) חמור מכולם המת",3,217,-1
טעמא למה אם נגע,10,402,-1
ובאהל טומאת שבעה וטומאת,0,18,-1
כסף משנה טומאת אהל אינה,2,160,-1
מטמא באסקופה מטפח ולמעלה משום דדרך,13,787,-1
ואין צורך לצירוף יד ואפשר דמשמע,10,457,-1
סבר כוותיה ועוד דבס''פ,19,1022,-1
ואפשר שכאן חזר בו ור''ש,13,744,-1
ולמטה טהור כנוגע בקרקע עולם וזה,13,764,-1
או אפשר דנגיעה,10,350,-1
רבינו שם דטעמא,12,532,-1
רבינו וטומאת משא בפרק כ''ג ונזיר,1,111,-1
צירף ידו או אפשר דנגיעה היינו,10,471,-1
טומאת שבעה וטומאת מגע,0,19,-1
כתב רבי יהושע מטמא באסקופה מטפח,13,784,-1
לאהל המת או,6,251,-1
שם דרבינא סבר כוותיה ועוד דבס''פ,19,1115,-1
דרבנן פליגי עליה,19,964,-1
הצריך שיצרף ידו שמלשון המשנה,10,408,-1
ודין בהמה מבואר בריש פרק,21,1365,-1
בקרקע עולם וזה הפך ממ''ש בשמו,13,767,-1
טהרות דתניא רשב''י אומר,19,1046,-1
היינו צירף ידו שכתב רבינו וכאילו יהיב,10,515,-1
"כ''ג ונזיר (דף נ""ו ע""ב) במשנה",1,115,-1
טומאה ובפרק לא יחפור,20,1239,-1
עצם כשעורה מטמא,1,69,-1
דמשמע שם דרבינא סבר,19,1019,-1
מטפח ולמעלה משום,13,681,-1
יהושע מטמא באסקופה,13,678,-1
למה מטפח ולמטה טהור מטפח,15,863,-1
בתוספתא ריש אהלות,20,1227,-1
כלו לאהל המת או,6,259,-1
זו מפני שנותנת,15,838,-1
אמרינן יצא העכו''ם שאין לו טומאה,20,1295,-1
"ס""א ע""ב) אמרינן יצא העכו''ם",20,1263,-1
יהושע ונראה מדברי רבינו שם דטעמא משום,12,635,-1
לחד לישנא אצל צירף ידו,13,739,-1
כסף משנה אחד הבא כלו,6,263,-1
ידו ואפשר שכאן,13,670,-1
"ס""ט) ושנינו בפ''ב",1,64,-1
משום דדרך הטומאה לצאת: כתב הראב''ד,13,791,-1
מ''ט קאי בבית,19,989,-1
רבה לאליהו לאו כהן הוא מר,19,1127,-1
"דכלים (מ""ד) חמור מכולם המת שהוא מטמא",3,219,-1
וזה הפך ממ''ש בשמו,13,698,-1
סתום ומטמא כל סביביו הילכך הנוגע באסקופה,12,647,-1
הוי הבית כקבר סתום ומטמא כל,12,619,-1
צורך לצירוף יד ואפשר דמשמע לרבינו,10,458,-1
טמא כנוגע בכותל מכותלי,12,578,-1
צורך לצירוף יד ואפשר דמשמע,10,418,-1
מתני מר טהרות דתניא רשב''י אומר,19,1139,-1
לאו כהן הוא מר מ''ט קאי בבית,19,1175,-1
וזה הפך ממ''ש בשמו בסמוך לחד לישנא,13,803,-1
העכו''ם אינו נעשה טמא מת וכו',19,1150,-1
כסף משנה אחד המת מישראל או,16,905,-1
הוי הבית כקבר סתום,12,566,-1
מטפח ולמטה טהור מטפח ולמעלה,15,864,-1
אמרי' דא''ל רבה,19,981,-1
מטמאין: וכן העכו''ם,19,1004,-1
מטפח ולמטה וכו',13,691,-1
ושנינו בפ''ב דאהלות דאפי' עצם כשעורה מטמא,1,143,-1
בר קבולי טומאה,20,1221,-1
לרשב''י ואע''ג דרבנן פליגי עליה פסק,19,1106,-1
פסק כמותו משום דמשמע,19,1016,-1
כתב רבי יהושע מטמא,13,713,-1
כסף משנה המת מטמא במגע,0,23,-1
טהרות דתניא רשב''י אומר קברי עכו''ם,19,1141,-1
כסף משנה המת מטמא במגע ובמשא,0,33,-1
דתניא רשב''י אומר קברי עכו''ם אינם,19,1142,-1
טהור כנוגע בקרקע עולם וזה הפך,13,765,-1
משמע דבנגיעה בעלמא טמא ואין צורך לצירוף,10,492,-1
ח' דאהלות שבהמה וחיה,21,1361,-1
"משנה פ''ק דכלים (מ""ד) חמור מכולם",3,208,-1
ממ''ש בשמו בסמוך לחד לישנא,13,736,-1
אמרינן דעכו''ם שישב בחלון ממעט בחלון,20,1306,-1
בשמו בסמוך לחד לישנא,13,701,-1
הנוגע באסקופה מטפח ולמעלה טמא כנוגע,12,627,-1
דלישנא דנגיעה לאו דוקא ואינו טמא אא''כ,10,503,-1
אחד המת מישראל או מן העכו''ם,16,907,-1
במשנה וכר' יהושע ונראה,12,555,-1
"כ''ג ונזיר (דף נ""ו ע""ב)",1,96,-1
ג''ז שם במשנה וכר' יהושע ונראה מדברי,12,631,-1
וכאילו יהיב טעמא למה אם נגע,10,481,-1
אצל צירף ידו ואפשר שכאן חזר,13,776,-1
בר קבולי טומאה הוא,20,1253,-1
דרבנן פליגי עליה פסק כמותו משום דמשמע,19,1154,-1
מבואר בריש פרק ח' דאהלות,21,1367,-1
יהיב טעמא למה אם,10,401,-1
כמ''ש רבינו וטומאת משא,1,71,-1
עצם כשעורה מטמא במשא:,1,90,-1
מטפח ולמעלה משום דדרך הטומאה,13,754,-1
לרבינו דלישנא דנגיעה לאו דוקא ואינו טמא,10,502,-1
המת שהוא מטמא באהל מה שאין,3,214,-1
ולמטה טהור כנוגע,13,656,-1
ואע''ג דרבנן פליגי עליה פסק כמותו משום,19,1153,-1
מדברי רבינו שם דטעמא משום דכשטומאה,12,612,-1
משום דכשטומאה בבית הוי הבית כקבר סתום,12,641,-1
יהיב טעמא למה אם נגע,10,442,-1
ידו שמלשון המשנה משמע דבנגיעה בעלמא,10,450,-1
ומטמא כל סביביו הילכך,12,570,-1
כסף משנה טומאת אהל אינה בשאר,2,166,-1
בריש פרק ח' דאהלות שבהמה וחיה חוצצין,21,1383,-1
כלו לאהל המת או הבא,6,267,-1
בפ''ב דאהלות דאפי',1,66,-1
"ע""ב) אמרינן יצא",20,1201,-1
מדברי רבינו שם דטעמא משום,12,586,-1
דוקא ואינו טמא אא''כ צירף ידו,10,467,-1
מפני שנותנת טעם למה,15,850,-1
משמע דבנגיעה בעלמא טמא ואין,10,413,-1
משום דדרך הטומאה לצאת: כתב הראב''ד נגע,13,825,-1
משא בפרק כ''ג ונזיר (דף,1,94,-1
סבר כוותיה ועוד דבס''פ המקבל,19,1070,-1
דתניא רשב''י אומר קברי עכו''ם אינם מטמאין:,19,1188,-1
דתניא רשב''י אומר קברי,19,1047,-1
ומ''ש נגע באסקופה וכו',11,524,-1
האדם או הכלי,4,228,-1
פליגי עליה פסק,19,965,-1
רבינו וכאילו יהיב טעמא למה,10,440,-1
מטמא באהל מה שאין כולם מטמאין,3,216,-1
העכו''ם שאין לו טומאה ובפרק,20,1267,-1
רבי יהושע מטמא,13,677,-1
מטמאין: וכן העכו''ם אינו נעשה טמא,19,1148,-1
טומאה ובפרק לא יחפור (דף כ') אמרינן,20,1329,-1
פליגי עליה פסק כמותו משום דמשמע שם,19,1155,-1
מטמאין: וכן העכו''ם אינו,19,1053,-1
ואע''ג דרבנן פליגי עליה פסק,19,1060,-1
בריש פ''ג דאהלות (משנה א'):,5,245,-1
ומ''ש נגע באסקופה,11,522,-1
ג''ז שם במשנה,12,525,-1
דטעמא משום דכשטומאה בבית הוי,12,589,-1
כל סביביו הילכך הנוגע באסקופה מטפח ולמעלה,12,649,-1
ואין צורך לצירוף,10,334,-1
בהמה מבואר בריש פרק ח' דאהלות שבהמה,21,1381,-1
לישנא אצל צירף,13,667,-1
שם לרשב''י ואע''ג,19,961,-1
מבואר בריש פרק ח' דאהלות שבהמה,21,1375,-1
בבית הוי הבית,12,537,-1
"ס""א) מסקנא דרבינא אפילו",17,929,-1
דמשמע לרבינו דלישנא דנגיעה לאו,10,422,-1
שכאן חזר בו ור''ש כתב,13,745,-1
באהל מה שאין כולם,3,196,-1
חזר בו ור''ש כתב רבי יהושע מטמא,13,815,-1
אמרינן דעכו''ם שישב בחלון ממעט בחלון אלמא,20,1335,-1
לאו בר קבולי טומאה הוא,20,1283,-1
דלישנא דנגיעה לאו דוקא ואינו,10,424,-1
חזר בו ור''ש כתב,13,710,-1
דדרך הטומאה לצאת: כתב הראב''ד נגע באסקופה,13,826,-1
ואינו טמא אא''כ צירף ידו או,10,468,-1
בבית הקברות א''ל לא מתני מר טהרות,19,1181,-1
טמא ואין צורך לצירוף יד ואפשר,10,456,-1
יהושע מטמא באסקופה מטפח ולמעלה משום,13,786,-1
טומאת אהל אינה בשאר,2,155,-1
"דנזיר (דף ס""א ע""ב) אמרינן יצא",20,1291,-1
סביביו הילכך הנוגע באסקופה,12,572,-1
וזה הפך ממ''ש,13,661,-1
הילכך הנוגע באסקופה מטפח ולמעלה,12,600,-1
מכולם המת שהוא מטמא,3,192,-1
ומטמא כל סביביו הילכך הנוגע,12,597,-1
ואפשר שכאן חזר,13,671,-1
הפך ממ''ש בשמו,13,662,-1
ואפשר דמשמע לרבינו,10,338,-1
דנגיעה לאו דוקא,10,342,-1
בסמוך לחד לישנא,13,665,-1
וטומאת משא בפרק כ''ג ונזיר,1,93,-1
פסק כמותו משום דמשמע שם דרבינא סבר,19,1157,-1
קאי בבית הקברות א''ל,19,1039,-1
(דף כ') אמרינן דעכו''ם,20,1243,-1
אהל אינה בשאר טומאות,2,156,-1
כתב הראב''ד נגע באסקופה מטפח ולמטה,13,795,-1
בפרק בתרא דנזיר (דף,20,1228,-1
"ועוד דבס''פ המקבל (דף קי""ד ע""ב)",19,1119,-1
מפני שנותנת טעם למה מטפח ולמטה,15,869,-1
"מ""ג) ואיתיה בת''כ:",7,285,-1
א''ל לא מתני מר טהרות דתניא,19,1137,-1
כתב תוספתא זו מפני שנותנת טעם,15,866,-1
טומאה הוא וכן מפורש בתוספתא ריש,20,1316,-1
אינה בשאר טומאות אלא במת בלבד,2,170,-1
שנותנת טעם למה מטפח ולמטה,15,861,-1
כקבר סתום ומטמא,12,540,-1
באסקופה מטפח ולמעלה טמא,12,575,-1
"ע""ב) אמרינן יצא העכו''ם",20,1233,-1
כמ''ש רבינו וטומאת משא בפרק כ''ג ונזיר,1,128,-1
"מינים (דף מ""ג)",7,283,-1
המשנה משמע דבנגיעה,10,329,-1
מטמאין: וכן העכו''ם אינו נעשה,19,1101,-1
שנותנת טעם למה מטפח ולמטה טהור,15,870,-1
העכו''ם שאין לו טומאה,20,1236,-1
"(דף מ""ג) ואיתיה בת''כ: נגע",7,299,-1
בשאר טומאות אלא במת בלבד,2,165,-1
בעלמא טמא ואין,10,332,-1
וכר' יהושע ונראה מדברי רבינו,12,583,-1
"תינוקת (דף ס""ט) ושנינו בפ''ב דאהלות",1,122,-1
"המקבל (דף קי""ד ע""ב) אמרי' דא''ל רבה",19,1167,-1
קבולי טומאה הוא וכן מפורש,20,1285,-1
אמרינן דעכו''ם שישב בחלון,20,1245,-1
ומ''ש ואין העכו''ם מטמא באהל,18,957,-1
מטפח ולמטה טהור כנוגע בקרקע עולם וזה,13,797,-1
משנה פי''ב דאהלות נגע במשקוף,8,318,-1
בחלון אלמא לאו בר קבולי טומאה הוא,20,1340,-1
כקבר סתום ומטמא כל סביביו הילכך,12,621,-1
"ס""א) מסקנא דרבינא",17,921,-1
אחד המת מישראל או מן,16,900,-1
מטמא באהל מה,3,183,-1
דאהלות נגע במשקוף טמא,8,317,-1
דרבנן פליגי עליה פסק כמותו משום,19,1108,-1
קבולי טומאה הוא וכן,20,1254,-1
לאו בר קבולי טומאה הוא וכן,20,1313,-1
"דנזיר (דף ס""א ע""ב) אמרינן יצא העכו''ם",20,1320,-1
וטומאת משא בפרק,1,52,-1
אלמא לאו בר קבולי,20,1251,-1
בו ור''ש כתב,13,674,-1
זו מפני שנותנת טעם,15,849,-1
בחלון אלמא לאו בר קבולי,20,1281,-1
אינה בשאר טומאות אלא,2,157,-1
"(דף נ""ו ע""ב) במשנה ובפרק תינוקת (דף",1,135,-1
במגע ובמשא ובאהל,0,4,-1
ובפרק לא יחפור (דף כ'),20,1271,-1
כתב תוספתא זו מפני,15,847,-1
טעם למה מטפח ולמטה טהור מטפח,15,871,-1
ומ''ש ובין שהאהיל האדם או הכלי,4,237,-1
הבית כקבר סתום ומטמא כל סביביו,12,620,-1
יודע למה הצריך,10,323,-1
"משנה פ''ק דכלים (מ""ד)",3,187,-1
מבואר בריש פרק ח' דאהלות שבהמה וחיה,21,1382,-1
רבה לאליהו לאו כהן הוא,19,1080,-1
עכו''ם אינם מטמאין: וכן העכו''ם אינו,19,1146,-1
אא''כ צירף ידו או אפשר דנגיעה היינו,10,509,-1
דדרך הטומאה לצאת: כתב הראב''ד,13,757,-1
קברי עכו''ם אינם מטמאין: וכן העכו''ם,19,1145,-1
אחד המת מישראל,16,883,-1
בפרק כ''ג ונזיר (דף,1,75,-1
דבנגיעה בעלמא טמא ואין,10,373,-1
משנה פ''ק דכלים,3,175,-1
הבא על יבמתו (דף,17,925,-1
ובין שהאהיל האדם או הכלי,4,235,-1
הוא מר מ''ט קאי,19,1036,-1
שם במשנה וכר' יהושע ונראה מדברי,12,607,-1
ולמעלה טמא כנוגע בכותל,12,577,-1
וזה הפך ממ''ש בשמו בסמוך,13,734,-1
בו ור''ש כתב רבי יהושע,13,747,-1
רבינו שם דטעמא משום דכשטומאה בבית,12,613,-1
שם במשנה וכר' יהושע ונראה מדברי רבינו,12,632,-1
כסף משנה ומ''ש ואין העכו''ם מטמא,18,958,-1
הקברות א''ל לא מתני,19,1041,-1
כמותו משום דמשמע שם דרבינא,19,1065,-1
בקרקע עולם וזה הפך,13,696,-1
טמא ואין צורך,10,333,-1
כקבר סתום ומטמא כל,12,568,-1
עכו''ם אינם מטמאין: וכן,19,1051,-1
"תינוקת (דף ס""ט) ושנינו",1,83,-1
הראב''ד נגע באסקופה מטפח,13,725,-1
על יבמתו (דף,17,918,-1
דמשמע שם דרבינא,19,970,-1
במשנה וכר' יהושע,12,527,-1
ובאהל טומאת שבעה וטומאת מגע,0,29,-1
דרבנן פליגי עליה פסק,19,1013,-1
כנוגע בקרקע עולם וזה,13,695,-1
אחד הבא כלו לאהל,6,257,-1
במשנה ובפרק תינוקת (דף,1,81,-1
בבית הקברות א''ל לא מתני,19,1088,-1
כתב הראב''ד נגע,13,687,-1
"(דף ס""א) מסקנא דרבינא אפילו",17,935,-1
למה הצריך שיצרף ידו שמלשון המשנה,10,447,-1
"ובפרק תינוקת (דף ס""ט)",1,82,-1
המת או הבא מקצתו,6,261,-1
למה אם נגע טמא וצ''ע,10,444,-1
בריש פ''ג דאהלות (משנה,5,243,-1
אינה בשאר טומאות אלא במת,2,164,-1
שם במשנה וכר' יהושע,12,554,-1
הטומאה לצאת: כתב הראב''ד נגע באסקופה,13,793,-1
משנה אחד המת מישראל,16,891,-1
"ע""ב) אמרי' דא''ל רבה",19,1029,-1
יודע למה הצריך שיצרף ידו,10,406,-1
דמשמע שם דרבינא סבר כוותיה ועוד דבס''פ,19,1160,-1
ח' דאהלות שבהמה וחיה חוצצין מפני,21,1378,-1
דעכו''ם שישב בחלון,20,1214,-1
שכאן חזר בו ור''ש,13,709,-1
צירף ידו שכתב רבינו,10,396,-1
אמרי' דא''ל רבה לאליהו,19,1030,-1
פ''ג דאהלות (משנה א'):,5,244,-1
מישראל או מן העכו''ם מטמא במגע ובמשא,16,915,-1
כסף משנה אחד הבא כלו לאהל המת,6,276,-1
לרשב''י ואע''ג דרבנן פליגי עליה,19,1059,-1
ונראה מדברי רבינו,12,530,-1
בקרקע עולם וזה הפך ממ''ש,13,732,-1
האדם או הכלי וכו',4,233,-1
"ס""א) מסקנא דרבינא אפילו לרשב''י:",17,936,-1
"(דף ס""א ע""ב) אמרינן יצא העכו''ם",20,1292,-1
במשנה וכר' יהושע ונראה מדברי רבינו שם,12,633,-1
טמא אא''כ צירף ידו או,10,429,-1
לאו דוקא ואינו טמא אא''כ צירף,10,466,-1
אמרינן דעכו''ם שישב בחלון ממעט,20,1276,-1
בסמוך לחד לישנא אצל,13,702,-1
מן העכו''ם מטמא במגע ובמשא,16,904,-1
בחלון ממעט בחלון אלמא לאו בר,20,1309,-1
סתום ומטמא כל סביביו,12,569,-1
שם דרבינא סבר כוותיה ועוד דבס''פ המקבל,19,1161,-1
טעמא למה אם נגע טמא,10,443,-1
ולמטה טהור כנוגע בקרקע,13,693,-1
עליה פסק כמותו משום דמשמע שם,19,1110,-1
מסקנא דרבינא אפילו לרשב''י:,17,930,-1
אפשר דנגיעה היינו,10,351,-1
לא יחפור (דף כ') אמרינן דעכו''ם שישב,20,1331,-1
"מינים (דף מ""ג) ואיתיה בת''כ: נגע",7,304,-1
ואע''ג דרבנן פליגי עליה פסק כמותו,19,1107,-1
ידו שמלשון המשנה משמע,10,369,-1
כוותיה ועוד דבס''פ המקבל,19,1023,-1
שם דטעמא משום דכשטומאה בבית הוי הבית,12,639,-1
"(דף ס""א) מסקנא",17,920,-1
מר טהרות דתניא רשב''י אומר קברי עכו''ם,19,1186,-1
וכן העכו''ם אינו נעשה טמא מת,19,1149,-1
"פ''ק דכלים (מ""ד) חמור",3,188,-1
"יבמתו (דף ס""א) מסקנא דרבינא",17,934,-1
פסק כמותו משום,19,967,-1
"על יבמתו (דף ס""א) מסקנא דרבינא אפילו",17,944,-1
אפשר דנגיעה היינו צירף ידו שכתב רבינו,10,513,-1
סתום ומטמא כל,12,541,-1
במשנה ובפרק תינוקת,1,60,-1
"תינוקת (דף ס""ט) ושנינו בפ''ב דאהלות דאפי'",1,140,-1
צירף ידו ואפשר שכאן חזר בו,13,777,-1
כהן הוא מר,19,986,-1
שכאן חזר בו,13,672,-1
שם לרשב''י ואע''ג דרבנן פליגי עליה פסק,19,1151,-1
טומאות אלא במת בלבד,2,159,-1
כתב הראב''ד נגע באסקופה מטפח,13,760,-1
כמ''ש רבינו וטומאת משא בפרק,1,91,-1
כקבר סתום ומטמא כל סביביו,12,595,-1
ידו שמלשון המשנה משמע דבנגיעה בעלמא טמא,10,489,-1
מבואר בריש פרק ח',21,1358,-1
מסקנא דרבינא אפילו,17,922,-1
במשנה וכר' יהושע ונראה מדברי רבינו,12,608,-1
בריש פרק ח' דאהלות שבהמה וחיה,21,1376,-1
לרשב''י ואע''ג דרבנן פליגי,19,1011,-1
"דבס''פ המקבל (דף קי""ד",19,1025,-1
הצריך שיצרף ידו,10,325,-1
כ') אמרינן דעכו''ם,20,1212,-1
טומאת אהל אינה בשאר טומאות אלא,2,168,-1
מה שאין כולם מטמאין,3,197,-1
"ע""ב) אמרינן יצא העכו''ם שאין לו",20,1294,-1
רבינו וטומאת משא בפרק כ''ג,1,92,-1
לאו כהן הוא,19,985,-1
כסף משנה אחד המת מישראל,16,898,-1
ידו ואפשר שכאן חזר,13,707,-1
כתב תוספתא זו מפני שנותנת טעם למה,15,874,-1
המת מטמא במגע ובמשא ובאהל טומאת,0,35,-1
מטפח ולמעלה משום דדרך הטומאה לצאת:,13,789,-1
בפ''ב דאהלות דאפי' עצם כשעורה מטמא במשא:,1,144,-1
תוספתא זו מפני שנותנת טעם למה מטפח,15,875,-1
ולמעלה משום דדרך הטומאה לצאת:,13,755,-1
דכשטומאה בבית הוי,12,536,-1
משנה המת מטמא במגע ובמשא ובאהל טומאת,0,43,-1
יודע למה הצריך שיצרף ידו שמלשון,10,446,-1
"דנזיר (דף ס""א",20,1198,-1
לאו דוקא ואינו טמא,10,385,-1
מן העכו''ם מטמא,16,887,-1
המת מטמא במגע ובמשא,0,14,-1
ואפשר דמשמע לרבינו דלישנא דנגיעה,10,421,-1
מר טהרות דתניא רשב''י,19,1045,-1
ולמטה טהור כנוגע בקרקע עולם וזה הפך,13,798,-1
בשמו בסמוך לחד לישנא אצל צירף ידו,13,806,-1
שהאהיל האדם או הכלי,4,232,-1
הוי הבית כקבר סתום ומטמא,12,593,-1
רבינו שם דטעמא משום,12,560,-1
נגע במשקוף טמא,8,314,-1
רשב''י אומר קברי עכו''ם אינם,19,1096,-1
"פ''ק דכלים (מ""ד) חמור מכולם המת שהוא",3,218,-1
"במשנה ובפרק תינוקת (דף ס""ט) ושנינו בפ''ב",1,138,-1
ובין שהאהיל האדם או,4,231,-1
סביביו הילכך הנוגע באסקופה מטפח ולמעלה טמא,12,650,-1
צירף ידו ואפשר שכאן חזר בו ור''ש,13,811,-1
ואינו טמא אא''כ,10,345,-1
"דבס''פ המקבל (דף קי""ד ע""ב) אמרי'",19,1120,-1
העכו''ם מטמא באהל,18,950,-1
"דכלים (מ""ד) חמור מכולם המת",3,200,-1
כל סביביו הילכך,12,543,-1
ונראה מדברי רבינו שם,12,558,-1
ומ''ש ובין שהאהיל האדם,4,230,-1
אצל צירף ידו ואפשר,13,705,-1
תוספתא זו מפני שנותנת טעם,15,858,-1
בבית הקברות א''ל לא מתני מר,19,1135,-1
כסף משנה המת מטמא במגע ובמשא ובאהל,0,42,-1
המשנה משמע דבנגיעה בעלמא טמא ואין,10,452,-1
הקברות א''ל לא מתני מר,19,1089,-1
הוא מר מ''ט קאי בבית הקברות א''ל,19,1177,-1
"ונזיר (דף נ""ו ע""ב) במשנה ובפרק תינוקת",1,134,-1
קברי עכו''ם אינם,19,1001,-1
יד ואפשר דמשמע לרבינו דלישנא דנגיעה לאו,10,499,-1
בבית הוי הבית כקבר,12,565,-1
נגע טמא וצ''ע,10,363,-1
טומאת שבעה וטומאת,0,7,-1
דנגיעה לאו דוקא ואינו,10,384,-1
כנוגע בקרקע עולם וזה הפך,13,731,-1
רבינו וכאילו יהיב,10,357,-1
דא''ל רבה לאליהו לאו כהן הוא מר,19,1172,-1
מבואר בריש פרק,21,1348,-1
חוצצין מפני הטומאה:,21,1355,-1
פליגי עליה פסק כמותו,19,1014,-1
ור''ש כתב רבי יהושע מטמא באסקופה מטפח,13,817,-1
כתב תוספתא זו,15,836,-1
לרבינו דלישנא דנגיעה לאו,10,382,-1
בבית הקברות א''ל לא,19,1040,-1
מטמא במגע ובמשא ובאהל טומאת שבעה וטומאת,0,45,-1
שישב בחלון ממעט בחלון אלמא,20,1278,-1
משום דדרך הטומאה,13,683,-1
וטומאת מגע ואהל,0,9,-1
לא מתני מר טהרות,19,1043,-1
צירף ידו שכתב רבינו וכאילו,10,437,-1
הצריך שיצרף ידו שמלשון המשנה משמע דבנגיעה,10,487,-1
דמשמע לרבינו דלישנא,10,339,-1
שם דטעמא משום דכשטומאה בבית,12,588,-1
דאהלות דאפי' עצם כשעורה מטמא,1,108,-1
מדברי רבינו שם דטעמא משום דכשטומאה בבית,12,637,-1
לא יחפור (דף כ') אמרינן,20,1272,-1
"יבמתו (דף ס""א)",17,919,-1
"דבס''פ המקבל (דף קי""ד ע""ב) אמרי' דא''ל",19,1166,-1
וחיה חוצצין מפני הטומאה:,21,1364,-1
עולם וזה הפך ממ''ש בשמו בסמוך,13,768,-1
טומאת אהל אינה בשאר טומאות,2,162,-1
